title,artist,danceability,mood_acoustic,mood_aggressive,mood_electronic,mood_happy,mood_party,mood_relaxed,mood_sad
The Puppet Motel,Laurie Anderson,0.688059508801,0.602026283741,0.125148519874,0.770578503609,0.0758396163583,0.463696837425,0.0800309032202,0.314496487379
Stardust From Tomorrow,Sun Ra,0.590770065784,0.529551267624,0.184356689453,0.145117908716,0.0963785201311,0.691065728664,0.461310893297,0.565041899681
I Had To Do It,Benny Goodman,0.158376142383,0.59607821703,0.00815183389932,0.124759554863,0.974622368813,0.915482282639,0.969687879086,0.596996068954
UN DIA (ONE DAY),"J Balvin, Dua Lipa, Bad Bunny, Tainy",0.999999880791,0.00623577833176,0.0121389813721,0.878778457642,0.216273188591,0.122795246542,0.562239348888,0.606279075146
Killing For Love,José González,0.0110112512484,0.767317175865,0.00483558280393,0.80302977562,0.270451158285,0.954371035099,0.015917243436,0.514919996262
Christian Names,Atlas Sound,0.0686306133866,0.017531555146,0.331470429897,0.359094113111,0.587989151478,0.430386662483,0.989029765129,0.904435455799
Daytona,Chris Rea,3.00000096379e-14,0.0955892950296,3.00000096379e-14,0.979391694069,0.839725553989,0.999984204769,0.191182896495,0.668984949589
Country Gal Dub,King Tubby Meets Roots Radics,0.968405127525,0.135822191834,0.282925337553,0.491342633963,0.242775514722,0.332138091326,0.594674944878,0.514588952065
Hard Way To Make An Easy Living,The Bellamy Brothers,0.5,0.29106259346,0.054234482348,0.229170650244,0.809686481953,0.429165512323,0.987320125103,0.651980042458
Enough Is Enough,Eli Young Band,0.236491084099,0.44673460722,0.0351811945438,0.177420020103,0.481385201216,0.511738359928,0.712700307369,0.53630977869
"Piano Sonata No. 24 in F-sharp major, Op. 78: I. Adagio cantabile - Allegro ma non troppo",Ludwig van Beethoven,0.00435516890138,0.974278569221,1.04755217762e-05,0.131483614445,0.373007327318,0.997621655464,0.00379730388522,0.427522301674
Hammer to Fall,Queen,0.343661814928,0.0713827684522,0.465964138508,0.233669832349,0.176391452551,0.617475152016,0.980259120464,0.809692800045
Convenient Me,Josie Charlwood & Lef Germenlis,0.136166587472,0.421823501587,0.0128249516711,0.79541605711,0.0329033173621,0.920968651772,0.0516914799809,0.435024946928
Hammer to Fall,Queen,0.0236042980105,0.00794617459178,0.92027425766,0.220716834068,0.363199472427,0.322699576616,0.986626088619,0.758193731308
Expreso rítmico,Ricardo Eddy Martinez,0.444119244814,0.20593097806,0.125710785389,0.845991015434,0.175118118525,0.0664041563869,0.705860733986,0.755016803741
The One With the Wurlitzer,American Football,0.0214086659253,0.95413428545,4.47067304776e-06,0.252952218056,0.798364460468,0.99115973711,0.00856889691204,0.155924901366
Christian Names,Atlas Sound,0.0686184540391,0.0175362676382,0.331487566233,0.359087616205,0.587974607944,0.430409103632,0.989028632641,0.90448641777
